('﻿ilkid', 'firstname', 'lastname', year, 'team', gp, minutes, pts, dreb, oreb, reb, asts, stl, blk, turnover),
('ARMSTPA01 ', 'Paul', 'Armstrong', 1949, 'FTW', 3, 0, 9, 0, 0, 0, 6, 0, 0, 0),
('BARKECL01 ', 'Cliff', 'Barker', 1949, 'INI', 6, 0, 34, 0, 0, 0, 13, 0, 0, 0),
('BARNHLE01 ', 'Leo', 'Barnhorst', 1949, 'CH1', 2, 0, 22, 0, 0, 0, 4, 0, 0, 0),
('BEARDRA01 ', 'Ralph', 'Beard', 1949, 'INI', 5, 0, 66, 0, 0, 0, 22, 0, 0, 0),
('BLACKCH01 ', 'Charlie', 'Black', 1949, 'AND', 8, 0, 57, 0, 0, 0, 17, 0, 0, 0),
('BOBBNE01  ', 'Nelson', 'Bobb', 1949, 'PH1', 2, 0, 2, 0, 0, 0, 1, 0, 0, 0),
('BORNHJA01 ', 'Jake', 'Bornheimer', 1949, 'PH1', 2, 0, 2, 0, 0, 0, 0, 0, 0, 0),
('BORYLVI01 ', 'Vince', 'Boryla', 1949, 'NYK', 5, 0, 75, 0, 0, 0, 7, 0, 0, 0),
('BRANNBO01 ', 'Bob', 'Brannum', 1949, 'SHE', 3, 0, 43, 0, 0, 0, 11, 0, 0, 0),
('BRAUNCA01 ', 'Carl', 'Braun', 1949, 'NYK', 5, 0, 85, 0, 0, 0, 19, 0, 0, 0),
('BRIANFR01 ', 'Frank', 'Brian', 1949, 'AND', 8, 0, 95, 0, 0, 0, 19, 0, 0, 0),
('BURMAJA01 ', 'Jack', 'Burmaster', 1949, 'SHE', 3, 0, 36, 0, 0, 0, 8, 0, 0, 0),
('CARPEBO01 ', 'Bob', 'Carpenter', 1949, 'FTW', 4, 0, 32, 0, 0, 0, 2, 0, 0, 0),
('CARTEJA01 ', 'Jake', 'Carter', 1949, 'AND', 8, 0, 10, 0, 0, 0, 3, 0, 0, 0),
('CERVIAL01 ', 'Al', 'Cervi', 1949, 'SYR', 11, 0, 84, 0, 0, 0, 52, 0, 0, 0),
('CHOLLLE01 ', 'Leroy', 'Chollet', 1949, 'SYR', 8, 0, 19, 0, 0, 0, 4, 0, 0, 0),
('CLOSSBI01 ', 'Bill', 'Closs', 1949, 'AND', 8, 0, 91, 0, 0, 0, 14, 0, 0, 0),
('COLEMJA01 ', 'Jack', 'Coleman', 1949, 'ROC', 2, 0, 15, 0, 0, 0, 4, 0, 0, 0),
('COOKBO01  ', 'Bobby', 'Cook', 1949, 'SHE', 3, 0, 9, 0, 0, 0, 6, 0, 0, 0),
('CORLERA01 ', 'Ray', 'Corley', 1949, 'SYR', 6, 0, 17, 0, 0, 0, 10, 0, 0, 0),
('CROSSFR01 ', 'Francis', 'Crossin', 1949, 'PH1', 2, 0, 26, 0, 0, 0, 4, 0, 0, 0),
('CURRAFR01 ', 'Fran', 'Curran', 1949, 'ROC', 2, 0, 5, 0, 0, 0, 0, 0, 0, 0),
('DAVIEBO01 ', 'Bob', 'Davies', 1949, 'ROC', 2, 0, 15, 0, 0, 0, 9, 0, 0, 0),
('DILLOJO01 ', 'John', 'Dillon', 1949, 'WSC', 1, 0, 4, 0, 0, 0, 0, 0, 0, 0),
('DONOVHA01 ', 'Harry', 'Donovan', 1949, 'NYK', 3, 0, 2, 0, 0, 0, 0, 0, 0, 0),
('DUNCAAN01 ', 'Andy', 'Duncan', 1949, 'ROC', 2, 0, 6, 0, 0, 0, 1, 0, 0, 0),
('EDDLETH01 ', 'Thomas', 'Eddleman', 1949, 'TRI', 3, 0, 49, 0, 0, 0, 7, 0, 0, 0),
('ENGLUGE01 ', 'Gene', 'Englund', 1949, 'TRI', 2, 0, 11, 0, 0, 0, 1, 0, 0, 0),
('EVANSBO01 ', 'Bob', 'Evans', 1949, 'INI', 2, 0, 2, 0, 0, 0, 0, 0, 0, 0),
('FEERIBO01 ', 'Bob', 'Feerick', 1949, 'WSC', 2, 0, 9, 0, 0, 0, 6, 0, 0, 0),
('FERRIAR01 ', 'Arnie', 'Ferrin', 1949, 'MIE', 12, 0, 82, 0, 0, 0, 30, 0, 0, 0),
('FLEISJE01 ', 'Jerry', 'Fleishman', 1949, 'PH1', 2, 0, 2, 0, 0, 0, 3, 0, 0, 0),
('FULKSJO01 ', 'Joe', 'Fulks', 1949, 'PH1', 2, 0, 15, 0, 0, 0, 2, 0, 0, 0),
('GABORBI01 ', 'Billy', 'Gabor', 1949, 'SYR', 10, 0, 76, 0, 0, 0, 25, 0, 0, 0),
('GALLAHA01 ', 'Harry', 'Gallatin', 1949, 'NYK', 5, 0, 65, 0, 0, 0, 6, 0, 0, 0),
('GARDNVE01 ', 'Vern', 'Gardner', 1949, 'PH1', 2, 0, 36, 0, 0, 0, 2, 0, 0, 0),
('GIBSODE01 ', 'Dee', 'Gibson', 1949, 'TRI', 3, 0, 11, 0, 0, 0, 2, 0, 0, 0),
('GRABOJO01 ', 'Joe', 'Graboski', 1949, 'CH1', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0),
('GRANTHA01 ', 'Harvey', 'Grant', 1949, 'MIE', 11, 0, 43, 0, 0, 0, 7, 0, 0, 0),
('GROZAAL01 ', 'Alex', 'Groza', 1949, 'INI', 6, 0, 137, 0, 0, 0, 12, 0, 0, 0),
('GUOKAAL01 ', 'Al', 'Guokas', 1949, 'PH1', 2, 0, 6, 0, 0, 0, 5, 0, 0, 0),
('HALBECH01 ', 'Chuck', 'Halbert', 1949, 'WSC', 2, 0, 19, 0, 0, 0, 3, 0, 0, 0),
('HALEBR01  ', 'Bruce', 'Hale', 1949, 'INI', 6, 0, 43, 0, 0, 0, 17, 0, 0, 0),
('HANNUAL01 ', 'Alex', 'Hannum', 1949, 'SYR', 11, 0, 93, 0, 0, 0, 10, 0, 0, 0),
('HARGIJO01 ', 'John', 'Hargis', 1949, 'AND', 8, 0, 101, 0, 0, 0, 13, 0, 0, 0),
('HARRIBO01 ', 'Bob', 'Harris', 1949, 'FTW', 4, 0, 30, 0, 0, 0, 11, 0, 0, 0),
('HARRIBO01 ', 'Bob', 'Harris', 1949, 'MIE', 12, 0, 42, 0, 0, 0, 12, 0, 0, 0),
('HASSEBI01 ', 'Billy', 'Hassett', 1949, 'MIE', 7, 0, 9, 0, 0, 0, 4, 0, 0, 0),
('HAWKIMA01 ', 'Marshall', 'Hawkins', 1949, 'INI', 2, 0, 0, 0, 0, 0, 0, 0, 0, 0),
('HENRYBI01 ', 'Bill', 'Henry', 1949, 'TRI', 3, 0, 9, 0, 0, 0, 5, 0, 0, 0),
('HERMSCL01 ', 'Clarence', 'Hermsen', 1949, 'CH1', 2, 0, 18, 0, 0, 0, 5, 0, 0, 0),
('HOLLAJO01 ', 'Joe', 'Holland', 1949, 'INI', 6, 0, 48, 0, 0, 0, 15, 0, 0, 0),
('HOLZMRE01 ', 'Red', 'Holzman', 1949, 'ROC', 2, 0, 7, 0, 0, 0, 0, 0, 0, 0),
('JAMESGE01 ', 'Gene', 'James', 1949, 'NYK', 1, 0, 2, 0, 0, 0, 0, 0, 0, 0),
('JAROSTO01 ', 'Tony', 'Jaros', 1949, 'MIE', 2, 0, 1, 0, 0, 0, 0, 0, 0, 0),
('JOHNSAR01 ', 'Arnie', 'Johnson', 1949, 'ROC', 2, 0, 20, 0, 0, 0, 5, 0, 0, 0),
('JONESWA02 ', 'Wallace', 'Jones', 1949, 'INI', 5, 0, 73, 0, 0, 0, 22, 0, 0, 0),
('JORGENO01 ', 'Noble', 'Jorgensen', 1949, 'SHE', 3, 0, 52, 0, 0, 0, 8, 0, 0, 0),
('KATKALE01 ', 'Leo', 'Katkaveck', 1949, 'WSC', 2, 0, 6, 0, 0, 0, 3, 0, 0, 0),
('KERRIJA01 ', 'Jack', 'Kerris', 1949, 'FTW', 4, 0, 37, 0, 0, 0, 5, 0, 0, 0),
('KIRKWA01  ', 'Walt', 'Kirk', 1949, 'TRI', 3, 0, 5, 0, 0, 0, 1, 0, 0, 0),
('KLIERLE01 ', 'Leo', 'Klier', 1949, 'FTW', 2, 0, 1, 0, 0, 0, 3, 0, 0, 0),
('KLUEHDU01 ', 'Duane', 'Klueh', 1949, 'FTW', 2, 0, 9, 0, 0, 0, 3, 0, 0, 0),
('KOMENMI01 ', 'Milo', 'Komenich', 1949, 'AND', 8, 0, 68, 0, 0, 0, 14, 0, 0, 0),
('KUDELFR01 ', 'Frank', 'Kudelka', 1949, 'CH1', 2, 0, 5, 0, 0, 0, 4, 0, 0, 0),
('LIVINRO01 ', 'Ron', 'Livingstone', 1949, 'PH1', 2, 0, 16, 0, 0, 0, 5, 0, 0, 0),
('LUMPPRA01 ', 'Ray', 'Lumpp', 1949, 'NYK', 5, 0, 22, 0, 0, 0, 3, 0, 0, 0),
('MACKNJO01 ', 'Johnny', 'Macknowski', 1949, 'SYR', 11, 0, 117, 0, 0, 0, 21, 0, 0, 0),
('MCGUIDI01 ', 'Dick', 'McGuire', 1949, 'NYK', 5, 0, 63, 0, 0, 0, 27, 0, 0, 0),
('MCKINHO01 ', 'Horace', 'McKinney', 1949, 'WSC', 2, 0, 16, 0, 0, 0, 3, 0, 0, 0),
('MCMULMA01 ', 'Malcolm', 'McMullan', 1949, 'INI', 6, 0, 14, 0, 0, 0, 9, 0, 0, 0),
('MIASEST01 ', 'Stan', 'Miasek', 1949, 'CH1', 1, 0, 5, 0, 0, 0, 0, 0, 0, 0),
('MIKANED01 ', 'Ed', 'Mikan', 1949, 'ROC', 2, 0, 26, 0, 0, 0, 2, 0, 0, 0),
('MIKANGE01 ', 'George', 'Mikan', 1949, 'MIE', 12, 0, 376, 0, 0, 0, 36, 0, 0, 0),
('MIKKEVE01 ', 'Vern', 'Mikkelsen', 1949, 'MIE', 12, 0, 156, 0, 0, 0, 18, 0, 0, 0),
('MOGUSLE01 ', 'Leo', 'Mogus', 1949, 'PH1', 2, 0, 10, 0, 0, 0, 7, 0, 0, 0),
('MORRIMA01 ', 'Max', 'Morris', 1949, 'SHE', 3, 0, 43, 0, 0, 0, 14, 0, 0, 0),
('NICHOJA01 ', 'Jack', 'Nichols', 1949, 'TRI', 3, 0, 59, 0, 0, 0, 11, 0, 0, 0),
('NIEMIJO01 ', 'John', 'Niemiera', 1949, 'AND', 8, 0, 28, 0, 0, 0, 8, 0, 0, 0),
('NOELPA01  ', 'Paul', 'Noel', 1949, 'NYK', 5, 0, 3, 0, 0, 0, 1, 0, 0, 0),
('OKEEDI01  ', 'Dick', 'O'keefe', 1949, 'WSC', 2, 0, 15, 0, 0, 0, 5, 0, 0, 0),
('OTTENDO01 ', 'Don', 'Otten', 1949, 'WSC', 2, 0, 41, 0, 0, 0, 6, 0, 0, 0),
('OWENSJI01 ', 'Jim', 'Owens', 1949, 'AND', 8, 0, 80, 0, 0, 0, 19, 0, 0, 0),
('PATRIST01 ', 'Stan', 'Patrick', 1949, 'SHE', 3, 0, 10, 0, 0, 0, 1, 0, 0, 0),
('PERKIWA01 ', 'Warren', 'Perkins', 1949, 'TRI', 2, 0, 4, 0, 0, 0, 0, 0, 0, 0),
('PETERED01 ', 'Ed', 'Peterson', 1949, 'SYR', 11, 0, 44, 0, 0, 0, 1, 0, 0, 0),
('PHELAJA01 ', 'Jack', 'Phelan', 1949, 'SHE', 3, 0, 10, 0, 0, 0, 3, 0, 0, 0),
('PHILLAN01 ', 'Andy', 'Phillip', 1949, 'CH1', 2, 0, 24, 0, 0, 0, 12, 0, 0, 0),
('POLLAJI01 ', 'Jim', 'Pollard', 1949, 'MIE', 12, 0, 144, 0, 0, 0, 56, 0, 0, 0),
('RATKOGE01 ', 'George', 'Ratkovicz', 1949, 'SYR', 11, 0, 144, 0, 0, 0, 21, 0, 0, 0),
('RAYDO01   ', 'Don', 'Ray', 1949, 'TRI', 3, 0, 18, 0, 0, 0, 0, 0, 0, 0),
('REISEJO01 ', 'Joseph', 'Reiser', 1949, 'WSC', 2, 0, 23, 0, 0, 0, 5, 0, 0, 0),
('RISENAR01 ', 'Arnie', 'Risen', 1949, 'ROC', 2, 0, 23, 0, 0, 0, 4, 0, 0, 0),
('RITTEGO01 ', 'Goebel', 'Ritter', 1949, 'NYK', 5, 0, 45, 0, 0, 0, 8, 0, 0, 0),
('ROLLIKE01 ', 'Kenny', 'Rollins', 1949, 'CH1', 2, 0, 0, 0, 0, 0, 0, 0, 0, 0),
('SAULFR01  ', 'Frank', 'Saul', 1949, 'ROC', 2, 0, 18, 0, 0, 0, 4, 0, 0, 0),
('SCHAEHE01 ', 'Herm', 'Schaefer', 1949, 'MIE', 12, 0, 51, 0, 0, 0, 16, 0, 0, 0),
('SCHAUFR01 ', 'Fred', 'Schaus', 1949, 'FTW', 4, 0, 74, 0, 0, 0, 11, 0, 0, 0),
('SCHAYDO01 ', 'Dolph', 'Schayes', 1949, 'SYR', 11, 0, 188, 0, 0, 0, 28, 0, 0, 0),
('SCHOOMI01 ', 'Milt', 'Schoon', 1949, 'SHE', 3, 0, 17, 0, 0, 0, 3, 0, 0, 0),
('SCHULDI01 ', 'Dick', 'Schulz', 1949, 'SHE', 3, 0, 12, 0, 0, 0, 2, 0, 0, 0),
('SCHULHO01 ', 'Howie', 'Schultz', 1949, 'FTW', 4, 0, 43, 0, 0, 0, 4, 0, 0, 0),
('SCOLAFR01 ', 'Freddie', 'Scolari', 1949, 'WSC', 2, 0, 37, 0, 0, 0, 3, 0, 0, 0),
('SENESGE01 ', 'George', 'Senesky', 1949, 'PH1', 2, 0, 14, 0, 0, 0, 3, 0, 0, 0),
('SEYMOPA01 ', 'Paul', 'Seymour', 1949, 'SYR', 11, 0, 78, 0, 0, 0, 32, 0, 0, 0),
('SHAEFCA01 ', 'Carl', 'Shaeffer', 1949, 'INI', 6, 0, 21, 0, 0, 0, 7, 0, 0, 0),
('SIMMOCO01 ', 'Connie', 'Simmons', 1949, 'NYK', 5, 0, 42, 0, 0, 0, 7, 0, 0, 0),
('SPEAROD01 ', 'Odie', 'Spears', 1949, 'CH1', 2, 0, 23, 0, 0, 0, 1, 0, 0, 0),
('STANCED01 ', 'Ed', 'Stanczak', 1949, 'AND', 8, 0, 51, 0, 0, 0, 10, 0, 0, 0),
('TODORMA01 ', 'Marko', 'Todorovich', 1949, 'TRI', 3, 0, 31, 0, 0, 0, 8, 0, 0, 0),
('VANBRBU01 ', 'Butch', 'Vanbredakolff', 1949, 'NYK', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0),
('VANCEGE01 ', 'Gene', 'Vance', 1949, 'TRI', 3, 0, 19, 0, 0, 0, 9, 0, 0, 0),
('VANDEER01 ', 'Ernie', 'Vandeweghe', 1949, 'NYK', 4, 0, 32, 0, 0, 0, 3, 0, 0, 0),
('WAGERCL01 ', 'Clint', 'Wager', 1949, 'FTW', 4, 0, 30, 0, 0, 0, 8, 0, 0, 0),
('WALTHPA01 ', 'Paul', 'Walther', 1949, 'INI', 6, 0, 33, 0, 0, 0, 8, 0, 0, 0),
('WANZEBO01 ', 'Bobby', 'Wanzer', 1949, 'ROC', 2, 0, 27, 0, 0, 0, 4, 0, 0, 0),
('WIERMU01  ', 'Murray', 'Wier', 1949, 'TRI', 3, 0, 10, 0, 0, 0, 0, 0, 0, 0),
('ZASLOMA01 ', 'Max', 'Zaslofsky', 1949, 'CH1', 2, 0, 45, 0, 0, 0, 6, 0, 0, 0),
('ARIZIPA01 ', 'Paul', 'Arizin', 1950, 'PH1', 2, 0, 41, 0, 0, 20, 3, 0, 0, 0),
('ARMSTPA01 ', 'Paul', 'Armstrong', 1950, 'FTW', 3, 0, 15, 0, 0, 7, 5, 0, 0, 0),
('BARKECL01 ', 'Cliff', 'Barker', 1950, 'INI', 3, 0, 8, 0, 0, 15, 10, 0, 0, 0),
('BARNHLE01 ', 'Leo', 'Barnhorst', 1950, 'INI', 3, 0, 34, 0, 0, 9, 12, 0, 0, 0),
('BEARDRA01 ', 'Ralph', 'Beard', 1950, 'INI', 3, 0, 66, 0, 0, 12, 13, 0, 0, 0),
('BOBBNE01  ', 'Nelson', 'Bobb', 1950, 'PH1', 1, 0, 0, 0, 0, 0, 2, 0, 0, 0),
('BORYLVI01 ', 'Vince', 'Boryla', 1950, 'NYK', 14, 0, 217, 0, 0, 52, 37, 0, 0, 0),
('CALHOBI01 ', 'Bill', 'Calhoun', 1950, 'ROC', 14, 0, 61, 0, 0, 41, 20, 0, 0, 0),
('CERVIAL01 ', 'Al', 'Cervi', 1950, 'SYR', 7, 0, 78, 0, 0, 33, 38, 0, 0, 0),
('CHOLLLE01 ', 'Leroy', 'Chollet', 1950, 'SYR', 7, 0, 13, 0, 0, 16, 9, 0, 0, 0),
('CLOSSBI01 ', 'Bill', 'Closs', 1950, 'PH1', 2, 0, 7, 0, 0, 8, 5, 0, 0, 0),
('COLEMJA01 ', 'Jack', 'Coleman', 1950, 'ROC', 14, 0, 140, 0, 0, 179, 66, 0, 0, 0),
('COOPECH01 ', 'Chuck', 'Cooper', 1950, 'BOS', 2, 0, 10, 0, 0, 13, 3, 0, 0, 0),
('COUSYBO01 ', 'Bob', 'Cousy', 1950, 'BOS', 2, 0, 28, 0, 0, 15, 12, 0, 0, 0),
('DAVIEBO01 ', 'Bob', 'Davies', 1950, 'ROC', 14, 0, 222, 0, 0, 43, 75, 0, 0, 0),
('DONHABO01 ', 'Bob', 'Donham', 1950, 'BOS', 2, 0, 13, 0, 0, 8, 2, 0, 0, 0),
('FERRIAR01 ', 'Arnie', 'Ferrin', 1950, 'MIE', 7, 0, 41, 0, 0, 33, 16, 0, 0, 0),
('FOUSTLA01 ', 'Larry', 'Foust', 1950, 'FTW', 3, 0, 36, 0, 0, 37, 5, 0, 0, 0),
('FULKSJO01 ', 'Joe', 'Fulks', 1950, 'PH1', 2, 0, 52, 0, 0, 16, 1, 0, 0, 0),
('GABORBI01 ', 'Billy', 'Gabor', 1950, 'SYR', 7, 0, 63, 0, 0, 20, 18, 0, 0, 0),
('GALLAHA01 ', 'Harry', 'Gallatin', 1950, 'NYK', 14, 0, 165, 0, 0, 163, 26, 0, 0, 0),
('GRANTHA01 ', 'Harvey', 'Grant', 1950, 'MIE', 6, 0, 11, 0, 0, 5, 0, 0, 0, 0),
('GROZAAL01 ', 'Alex', 'Groza', 1950, 'INI', 3, 0, 97, 0, 0, 42, 2, 0, 0, 0),
('HALEBR01  ', 'Bruce', 'Hale', 1950, 'INI', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0),
('HANNUAL01 ', 'Alex', 'Hannum', 1950, 'SYR', 7, 0, 42, 0, 0, 47, 17, 0, 0, 0),
('HARRIBO01 ', 'Bob', 'Harris', 1950, 'MIE', 7, 0, 54, 0, 0, 27, 19, 0, 0, 0),
('HARRIBO01 ', 'Bob', 'Harris', 1950, 'BOS', 2, 0, 7, 0, 0, 4, 2, 0, 0, 0),
('HERMSCL01 ', 'Clarence', 'Hermsen', 1950, 'BOS', 2, 0, 2, 0, 0, 3, 0, 0, 0, 0),
('HERTZSI01 ', 'Sidney', 'Hertzberg', 1950, 'BOS', 2, 0, 10, 0, 0, 2, 3, 0, 0, 0),
('HOLLAJO01 ', 'Joe', 'Holland', 1950, 'INI', 3, 0, 35, 0, 0, 12, 11, 0, 0, 0),
('HOLZMRE01 ', 'Red', 'Holzman', 1950, 'ROC', 14, 0, 85, 0, 0, 19, 20, 0, 0, 0),
('HUTTOJO01 ', 'Joe', 'Hutton', 1950, 'MIE', 7, 0, 2, 0, 0, 3, 1, 0, 0, 0),
('JAROSTO01 ', 'Tony', 'Jaros', 1950, 'MIE', 7, 0, 20, 0, 0, 7, 6, 0, 0, 0),
('JOHNSAR01 ', 'Arnie', 'Johnson', 1950, 'ROC', 14, 0, 157, 0, 0, 126, 40, 0, 0, 0),
('JORGENO01 ', 'Noble', 'Jorgensen', 1950, 'SYR', 7, 0, 50, 0, 0, 21, 7, 0, 0, 0),
('KAFTAGE01 ', 'George', 'Kaftan', 1950, 'NYK', 8, 0, 13, 0, 0, 6, 2, 0, 0, 0),
('KERRIJA01 ', 'Jack', 'Kerris', 1950, 'FTW', 3, 0, 23, 0, 0, 20, 10, 0, 0, 0),
('KLUEHDU01 ', 'Duane', 'Klueh', 1950, 'FTW', 2, 0, 2, 0, 0, 3, 3, 0, 0, 0),
('KUDELFR01 ', 'Frank', 'Kudelka', 1950, 'BOS', 1, 0, 4, 0, 0, 5, 2, 0, 0, 0),
('LAVELTO01 ', 'Tony', 'Lavelli', 1950, 'NYK', 2, 0, 4, 0, 0, 1, 1, 0, 0, 0),
('LAVOYBO01 ', 'Bob', 'Lavoy', 1950, 'INI', 3, 0, 3, 0, 0, 6, 4, 0, 0, 0),
('LEEDEED01 ', 'Ed', 'Leede', 1950, 'BOS', 2, 0, 3, 0, 0, 0, 2, 0, 0, 0),
('LIVINRO01 ', 'Ron', 'Livingstone', 1950, 'PH1', 2, 0, 4, 0, 0, 2, 0, 0, 0, 0),
('LOFGRDO01 ', 'Don', 'Lofgran', 1950, 'INI', 1, 0, 5, 0, 0, 1, 0, 0, 0, 0),
('LUMPPRA01 ', 'Ray', 'Lumpp', 1950, 'NYK', 13, 0, 68, 0, 0, 20, 23, 0, 0, 0),
('MACAUED01 ', 'Ed', 'Macauley', 1950, 'BOS', 2, 0, 44, 0, 0, 18, 8, 0, 0, 0),
('MACKNJO01 ', 'Johnny', 'Macknowski', 1950, 'SYR', 2, 0, 13, 0, 0, 7, 4, 0, 0, 0),
('MAHNKJO01 ', 'John', 'Mahnken', 1950, 'INI', 3, 0, 4, 0, 0, 11, 9, 0, 0, 0),
('MCGUIDI01 ', 'Dick', 'McGuire', 1950, 'NYK', 14, 0, 74, 0, 0, 83, 78, 0, 0, 0),
('MCKINHO01 ', 'Horace', 'McKinney', 1950, 'BOS', 2, 0, 26, 0, 0, 10, 8, 0, 0, 0),
('MCNAMJO01 ', 'Joe', 'McNamee', 1950, 'ROC', 13, 0, 33, 0, 0, 35, 9, 0, 0, 0),
('MEHENDI01 ', 'Dick', 'Mehen', 1950, 'FTW', 3, 0, 26, 0, 0, 14, 3, 0, 0, 0),
('MIKANED01 ', 'Ed', 'Mikan', 1950, 'PH1', 2, 0, 22, 0, 0, 21, 3, 0, 0, 0),
('MIKANGE01 ', 'George', 'Mikan', 1950, 'MIE', 7, 0, 168, 0, 0, 74, 9, 0, 0, 0),
('MIKKEVE01 ', 'Vern', 'Mikkelsen', 1950, 'MIE', 7, 0, 109, 0, 0, 67, 17, 0, 0, 0),
('MOGUSLE01 ', 'Leo', 'Mogus', 1950, 'PH1', 1, 0, 0, 0, 0, 0, 0, 0, 0, 0),
('MURRAKE01 ', 'Ken', 'Murray', 1950, 'FTW', 3, 0, 26, 0, 0, 14, 10, 0, 0, 0),
('NOELPA01  ', 'Paul', 'Noel', 1950, 'ROC', 9, 0, 19, 0, 0, 9, 1, 0, 0, 0),
('OLDHAJO01 ', 'Johnny', 'Oldham', 1950, 'FTW', 3, 0, 17, 0, 0, 5, 5, 0, 0, 0),
('OSHEKE01  ', 'Kevin', 'O'shea', 1950, 'MIE', 5, 0, 5, 0, 0, 5, 1, 0, 0, 0),
('OTTENDO01 ', 'Don', 'Otten', 1950, 'FTW', 3, 0, 29, 0, 0, 19, 8, 0, 0, 0),
('PHILLAN01 ', 'Andy', 'Phillip', 1950, 'PH1', 2, 0, 15, 0, 0, 15, 14, 0, 0, 0),
('POLLAJI01 ', 'Jim', 'Pollard', 1950, 'MIE', 7, 0, 95, 0, 0, 62, 27, 0, 0, 0),
('RATKOGE01 ', 'George', 'Ratkovicz', 1950, 'SYR', 7, 0, 97, 0, 0, 63, 14, 0, 0, 0),
('RISENAR01 ', 'Arnie', 'Risen', 1950, 'ROC', 14, 0, 273, 0, 0, 196, 33, 0, 0, 0),
('RITTEGO01 ', 'Goebel', 'Ritter', 1950, 'NYK', 3, 0, 3, 0, 0, 2, 0, 0, 0, 0),
('SAULFR01  ', 'Frank', 'Saul', 1950, 'ROC', 9, 0, 9, 0, 0, 3, 6, 0, 0, 0),
('SCHAUFR01 ', 'Fred', 'Schaus', 1950, 'FTW', 3, 0, 43, 0, 0, 16, 10, 0, 0, 0),
('SCHAYDO01 ', 'Dolph', 'Schayes', 1950, 'SYR', 7, 0, 143, 0, 0, 102, 20, 0, 0, 0),
('SCOLAFR01 ', 'Freddie', 'Scolari', 1950, 'SYR', 7, 0, 88, 0, 0, 41, 16, 0, 0, 0),
('SENESGE01 ', 'George', 'Senesky', 1950, 'PH1', 2, 0, 15, 0, 0, 7, 15, 0, 0, 0),
('SEYMOPA01 ', 'Paul', 'Seymour', 1950, 'SYR', 7, 0, 34, 0, 0, 26, 25, 0, 0, 0),
('SIMMOCO01 ', 'Connie', 'Simmons', 1950, 'NYK', 14, 0, 152, 0, 0, 94, 24, 0, 0, 0),
('VANDEER01 ', 'Ernie', 'Vandeweghe', 1950, 'NYK', 14, 0, 101, 0, 0, 66, 34, 0, 0, 0),
('WALTHPA01 ', 'Paul', 'Walther', 1950, 'INI', 3, 0, 17, 0, 0, 5, 9, 0, 0, 0),
('WANZEBO01 ', 'Bobby', 'Wanzer', 1950, 'ROC', 14, 0, 175, 0, 0, 71, 59, 0, 0, 0),
('ZASLOMA01 ', 'Max', 'Zaslofsky', 1950, 'NYK', 14, 0, 250, 0, 0, 58, 38, 0, 0, 0),
('ARIZIPA01 ', 'Paul', 'Arizin', 1951, 'PH1', 3, 120, 77, 0, 0, 38, 8, 0, 0, 0),
('BARNHLE01 ', 'Leo', 'Barnhorst', 1951, 'INI', 2, 85, 31, 0, 0, 9, 8, 0, 0, 0),
('BOBBNE01  ', 'Nelson', 'Bobb', 1951, 'PH1', 3, 29, 4, 0, 0, 2, 1, 0, 0, 0),
('BRANNBO01 ', 'Bob', 'Brannum', 1951, 'BOS', 3, 48, 9, 0, 0, 10, 3, 0, 0, 0),
('BRIANFR01 ', 'Frank', 'Brian', 1951, 'FTW', 2, 81, 17, 0, 0, 6, 9, 0, 0, 0),
('BUDKOWA01 ', 'Walter', 'Budko', 1951, 'PH1', 3, 58, 16, 0, 0, 12, 5, 0, 0, 0),
('CALABGE01 ', 'Gerry', 'Calabrese', 1951, 'SYR', 6, 53, 24, 0, 0, 8, 4, 0, 0, 0),
('CERVIAL01 ', 'Al', 'Cervi', 1951, 'SYR', 7, 88, 36, 0, 0, 10, 15, 0, 0, 0),
('CLOSSBI01 ', 'Bill', 'Closs', 1951, 'FTW', 1, 21, 5, 0, 0, 8, 4, 0, 0, 0),
('COLEMJA01 ', 'Jack', 'Coleman', 1951, 'ROC', 6, 247, 59, 0, 0, 73, 35, 0, 0, 0),
('COOPECH01 ', 'Chuck', 'Cooper', 1951, 'BOS', 3, 128, 33, 0, 0, 16, 4, 0, 0, 0),
('COUSYBO01 ', 'Bob', 'Cousy', 1951, 'BOS', 3, 138, 93, 0, 0, 12, 19, 0, 0, 0),
('DAVIEBO01 ', 'Bob', 'Davies', 1951, 'ROC', 6, 233, 119, 0, 0, 13, 28, 0, 0, 0),
('DICKEDI01 ', 'Dick', 'Dickey', 1951, 'BOS', 3, 31, 8, 0, 0, 3, 5, 0, 0, 0),
('DONHABO01 ', 'Bob', 'Donham', 1951, 'BOS', 3, 112, 27, 0, 0, 13, 17, 0, 0, 0),
('EDDLETH01 ', 'Thomas', 'Eddleman', 1951, 'FTW', 2, 37, 16, 0, 0, 7, 4, 0, 0, 0),
('FENDLJA01 ', 'Jake', 'Fendley', 1951, 'FTW', 1, 4, 2, 0, 0, 1, 1, 0, 0, 0),
('FOUSTLA01 ', 'Larry', 'Foust', 1951, 'FTW', 2, 77, 30, 0, 0, 30, 5, 0, 0, 0),
('FULKSJO01 ', 'Joe', 'Fulks', 1951, 'PH1', 3, 70, 17, 0, 0, 12, 2, 0, 0, 0),
