('﻿ilkid', 'firstname', 'lastname', year, 'team', gp, minutes, pts, dreb, oreb, reb, asts, stl, blk, turnover),
('BAILETO01 ', 'Toby', 'Bailey', 1999, 'PHO', 5, 15, 4, 1, 1, 2, 2, 0, 0, 0),
('BAKERVI01 ', 'Vin', 'Baker', 1999, 'SEA', 5, 177, 70, 22, 16, 38, 10, 5, 2, 16),
('BARRYBR01 ', 'Brent', 'Barry', 1999, 'SEA', 5, 155, 42, 10, 3, 13, 15, 3, 3, 7),
('BARRYJO01 ', 'Jon', 'Barry', 1999, 'SAC', 5, 102, 39, 10, 2, 12, 12, 3, 0, 4),
('BENDEJO01 ', 'Jonathan', 'Bender', 1999, 'IND', 9, 21, 12, 3, 0, 3, 0, 1, 0, 0),
('BESTTR01  ', 'Travis', 'Best', 1999, 'IND', 23, 463, 204, 42, 15, 57, 66, 19, 4, 25),
('BLOUNCO01 ', 'Corie', 'Blount', 1999, 'PHO', 9, 162, 44, 31, 25, 56, 3, 6, 6, 13),
('BOGUEMU01 ', 'Muggsy', 'Bogues', 1999, 'TOR', 3, 87, 16, 3, 3, 6, 5, 4, 0, 4),
('BORRELA01 ', 'Lazaro', 'Borrell', 1999, 'SEA', 2, 26, 10, 8, 3, 11, 1, 0, 0, 1),
('BOWENBR01 ', 'Bruce', 'Bowen', 1999, 'MIA', 10, 157, 35, 9, 1, 10, 8, 7, 4, 6),
('BOWMAIR01 ', 'Ira', 'Bowman', 1999, 'PHI', 7, 11, 0, 0, 0, 0, 2, 0, 0, 0),
('BRANDTE01 ', 'Terrell', 'Brandon', 1999, 'MIN', 4, 162, 78, 19, 4, 23, 34, 3, 0, 8),
('BROWNDE01 ', 'Dee', 'Brown', 1999, 'TOR', 3, 19, 0, 2, 0, 2, 2, 2, 0, 1),
('BROWNPJ01 ', 'P.J.', 'Brown', 1999, 'MIA', 10, 308, 75, 56, 26, 82, 11, 8, 4, 11),
('BRUNSRI01 ', 'Rick', 'Brunson', 1999, 'NYK', 3, 4, 0, 0, 0, 0, 1, 1, 0, 0),
('BRYANKO01 ', 'Kobe', 'Bryant', 1999, 'LAL', 22, 857, 465, 72, 26, 98, 97, 32, 32, 55),
('BUECHJU01 ', 'Jud', 'Buechler', 1999, 'DET', 3, 34, 6, 4, 0, 4, 1, 0, 1, 0),
('BUFORRO01 ', 'Rodney', 'Buford', 1999, 'MIA', 1, 16, 11, 1, 0, 1, 1, 0, 0, 0),
('CAMBYMA01 ', 'Marcus', 'Camby', 1999, 'NYK', 16, 386, 77, 77, 35, 112, 6, 8, 23, 12),
('CAMPBEL01 ', 'Elden', 'Campbell', 1999, 'CHA', 4, 150, 57, 24, 9, 33, 4, 2, 4, 8),
('CARTEAN01 ', 'Anthony', 'Carter', 1999, 'MIA', 10, 275, 77, 32, 8, 40, 56, 12, 2, 23),
('CARTEVI01 ', 'Vince', 'Carter', 1999, 'TOR', 3, 119, 58, 9, 9, 18, 19, 3, 4, 8),
('CASSESA01 ', 'Sam', 'Cassell', 1999, 'MIL', 5, 178, 79, 17, 0, 17, 45, 4, 0, 9),
('CHILDCH01 ', 'Chris', 'Childs', 1999, 'NYK', 16, 334, 87, 36, 1, 37, 39, 7, 0, 14),
('CHRISDO01 ', 'Doug', 'Christie', 1999, 'TOR', 3, 61, 12, 4, 1, 5, 6, 4, 1, 4),
('COLEMDE01 ', 'Derrick', 'Coleman', 1999, 'CHA', 4, 169, 81, 40, 10, 50, 14, 3, 12, 13),
('CORBITY01 ', 'Tyrone', 'Corbin', 1999, 'SAC', 3, 23, 4, 4, 1, 5, 3, 0, 0, 0),
('CROSHAU01 ', 'Austin', 'Croshere', 1999, 'IND', 23, 490, 216, 78, 31, 109, 19, 9, 16, 25),
('CROTTJO01 ', 'John', 'Crotty', 1999, 'DET', 3, 51, 6, 4, 0, 4, 4, 1, 1, 4),
('CURRYDE01 ', 'Dell', 'Curry', 1999, 'TOR', 3, 30, 7, 1, 1, 2, 1, 2, 0, 2),
('CURRYMI01 ', 'Michael', 'Curry', 1999, 'DET', 3, 79, 28, 3, 0, 3, 3, 1, 1, 2),
('DANIEAN01 ', 'Antonio', 'Daniels', 1999, 'SAS', 4, 82, 29, 8, 2, 10, 6, 7, 0, 6),
('DAVISAN01 ', 'Antonio', 'Davis', 1999, 'TOR', 3, 105, 39, 18, 7, 25, 3, 1, 4, 4),
('DAVISBA01 ', 'Baron', 'Davis', 1999, 'CHA', 4, 57, 23, 3, 3, 6, 6, 4, 0, 3),
('DAVISDA01 ', 'Dale', 'Davis', 1999, 'IND', 23, 714, 190, 180, 83, 263, 17, 11, 31, 18),
('DAYTO01   ', 'Todd', 'Day', 1999, 'PHO', 9, 100, 42, 4, 6, 10, 4, 4, 1, 4),
('DELKTO01  ', 'Tony', 'Delk', 1999, 'SAC', 5, 101, 56, 7, 11, 18, 7, 3, 0, 8),
('DELNEVI01 ', 'Vinny', 'Del Negro', 1999, 'MIL', 5, 93, 26, 8, 0, 8, 9, 3, 0, 3),
('DIALDE01  ', 'Derrick', 'Dial', 1999, 'SAS', 2, 8, 5, 0, 2, 2, 0, 0, 0, 0),
('DIVACVL01 ', 'Vlade', 'Divac', 1999, 'SAC', 5, 160, 56, 27, 9, 36, 14, 7, 4, 9),
('DUDLECH02 ', 'Chris', 'Dudley', 1999, 'NYK', 5, 43, 4, 7, 5, 12, 2, 1, 1, 1),
('EISLEHO01 ', 'Howard', 'Eisley', 1999, 'UTA', 10, 200, 51, 17, 1, 18, 19, 6, 1, 13),
('ELIEMA01  ', 'Mario', 'Elie', 1999, 'SAS', 4, 115, 30, 12, 5, 17, 7, 5, 0, 12),
('ELLIOSE01 ', 'Sean', 'Elliott', 1999, 'SAS', 4, 119, 40, 21, 1, 22, 5, 0, 2, 4),
('EWINGPA01 ', 'Patrick', 'Ewing', 1999, 'NYK', 14, 461, 204, 104, 29, 133, 6, 16, 20, 27),
('FISHEDE01 ', 'Derek', 'Fisher', 1999, 'LAL', 21, 322, 99, 18, 4, 22, 41, 11, 1, 9),
('FOSTEGR01 ', 'Greg', 'Foster', 1999, 'SEA', 5, 68, 18, 10, 1, 11, 1, 0, 1, 3),
('FOXRI01   ', 'Rick', 'Fox', 1999, 'LAL', 23, 331, 100, 27, 11, 38, 28, 9, 0, 16),
('FUNDELA01 ', 'Lawrence', 'Funderburke', 1999, 'SAC', 4, 34, 10, 7, 4, 11, 0, 1, 0, 0),
('GARNEKE01 ', 'Kevin', 'Garnett', 1999, 'MIN', 4, 171, 75, 30, 13, 43, 35, 5, 3, 11),
('GARREDE01 ', 'Dean', 'Garrett', 1999, 'MIN', 3, 16, 3, 1, 1, 2, 0, 0, 1, 0),
('GEIGEMA01 ', 'Matt', 'Geiger', 1999, 'PHI', 8, 128, 70, 23, 17, 40, 2, 5, 2, 5),
('GEORGDE01 ', 'Devean', 'George', 1999, 'LAL', 9, 45, 22, 6, 4, 10, 2, 1, 0, 3),
('GILLIAR01 ', 'Armen', 'Gilliam', 1999, 'UTA', 10, 132, 35, 23, 6, 29, 4, 4, 4, 11),
('GRANTBR01 ', 'Brian', 'Grant', 1999, 'POR', 16, 320, 87, 55, 37, 92, 8, 6, 6, 17),
('GRANTGA01 ', 'Gary', 'Grant', 1999, 'POR', 2, 8, 1, 0, 0, 0, 1, 0, 0, 0),
('GRANTHO01 ', 'Horace', 'Grant', 1999, 'SEA', 5, 185, 24, 23, 8, 31, 10, 8, 5, 1),
('GREENAC01 ', 'A.c.', 'Green', 1999, 'LAL', 23, 429, 90, 53, 43, 96, 13, 14, 3, 9),
('HAMDA01   ', 'Darvin', 'Ham', 1999, 'MIL', 5, 144, 25, 12, 17, 29, 7, 1, 8, 7),
('HAMMOTO01 ', 'Tom', 'Hammonds', 1999, 'MIN', 1, 2, 0, 0, 0, 0, 0, 0, 0, 0),
('HARDAAN01 ', 'Anfernee', 'Hardaway', 1999, 'PHO', 9, 386, 183, 30, 14, 44, 51, 14, 9, 25),
('HARDATI01 ', 'Tim', 'Hardaway', 1999, 'MIA', 7, 182, 54, 14, 1, 15, 33, 5, 0, 11),
('HARPERO01 ', 'Ron', 'Harper', 1999, 'LAL', 23, 643, 198, 55, 30, 85, 73, 23, 13, 28),
('HILLGR01  ', 'Grant', 'Hill', 1999, 'DET', 2, 55, 22, 11, 0, 11, 9, 1, 0, 10),
('HILLTY01  ', 'Tyrone', 'Hill', 1999, 'PHI', 10, 352, 123, 61, 36, 97, 9, 9, 1, 12),
('HORNAJE01 ', 'Jeff', 'Hornacek', 1999, 'UTA', 10, 297, 115, 21, 9, 30, 33, 10, 0, 15),
('HORRYRO01 ', 'Robert', 'Horry', 1999, 'LAL', 23, 618, 175, 85, 38, 123, 58, 20, 19, 30),
('HOUSTAL01 ', 'Allan', 'Houston', 1999, 'NYK', 16, 654, 281, 49, 3, 52, 26, 19, 3, 36),
('HUNTELI01 ', 'Lindsey', 'Hunter', 1999, 'DET', 3, 93, 25, 7, 0, 7, 5, 5, 1, 5),
('IVERSAL01 ', 'Allen', 'Iverson', 1999, 'PHI', 10, 444, 262, 26, 14, 40, 45, 12, 1, 32),
('JACKSBO01 ', 'Bobby', 'Jackson', 1999, 'MIN', 3, 30, 15, 5, 0, 5, 4, 2, 1, 2),
('JACKSJA01 ', 'Jaren', 'Jackson', 1999, 'SAS', 2, 19, 2, 1, 0, 1, 2, 1, 0, 0),
('JACKSMA01 ', 'Mark', 'Jackson', 1999, 'IND', 23, 634, 187, 74, 12, 86, 178, 19, 2, 43),
('JOHNSAV01 ', 'Avery', 'Johnson', 1999, 'SAS', 4, 144, 48, 7, 2, 9, 21, 4, 0, 10),
('JOHNSER01 ', 'Ervin', 'Johnson', 1999, 'MIL', 5, 155, 31, 35, 14, 49, 2, 6, 6, 3),
('JOHNSKE01 ', 'Kevin', 'Johnson', 1999, 'PHO', 9, 129, 29, 13, 0, 13, 23, 3, 1, 13),
('JOHNSLA01 ', 'Larry', 'Johnson', 1999, 'NYK', 16, 589, 180, 65, 15, 80, 26, 8, 2, 23),
('JONESED01 ', 'Eddie', 'Jones', 1999, 'CHA', 4, 171, 68, 16, 4, 20, 19, 10, 3, 5),
('JONESJU01 ', 'Jumaine', 'Jones', 1999, 'PHI', 4, 8, 2, 0, 0, 0, 0, 0, 0, 0),
('KERSEJE01 ', 'Jerome', 'Kersey', 1999, 'SAS', 2, 25, 2, 2, 2, 4, 1, 2, 1, 1),
('KIDDJA01  ', 'Jason', 'Kidd', 1999, 'PHO', 6, 229, 59, 32, 8, 40, 53, 11, 1, 23),
('KNIGHTR01 ', 'Travis', 'Knight', 1999, 'LAL', 14, 48, 18, 2, 3, 5, 0, 1, 3, 6),
('KUKOCTO01 ', 'Toni', 'Kukoc', 1999, 'PHI', 10, 257, 93, 30, 7, 37, 17, 10, 3, 15),
('LAETTCH01 ', 'Christian', 'Laettner', 1999, 'DET', 3, 75, 20, 13, 2, 15, 6, 0, 1, 3),
('LEWISQU01 ', 'Quincy', 'Lewis', 1999, 'UTA', 8, 106, 26, 13, 2, 15, 2, 3, 7, 3),
('LEWISRA01 ', 'Rashard', 'Lewis', 1999, 'SEA', 5, 157, 77, 19, 12, 31, 3, 5, 3, 10),
('LIVINRA01 ', 'Randy', 'Livingston', 1999, 'PHO', 7, 63, 14, 5, 2, 7, 4, 4, 1, 4),
('LONGLLU01 ', 'Luc', 'Longley', 1999, 'PHO', 9, 162, 38, 18, 12, 30, 8, 4, 4, 10),
('LYNCHGE01 ', 'George', 'Lynch', 1999, 'PHI', 10, 293, 59, 45, 26, 71, 14, 9, 5, 8),
('MACCUTO01 ', 'Todd', 'Macculloch', 1999, 'PHI', 5, 24, 8, 6, 3, 9, 0, 0, 0, 0),
('MAJERDA01 ', 'Dan', 'Majerle', 1999, 'MIA', 10, 372, 90, 65, 5, 70, 32, 21, 1, 11),
('MALONKA01 ', 'Karl', 'Malone', 1999, 'UTA', 10, 386, 272, 70, 19, 89, 31, 7, 7, 27),
('MANNIDA01 ', 'Danny', 'Manning', 1999, 'MIL', 1, 5, 0, 1, 0, 1, 0, 0, 0, 0),
('MARIOSH01 ', 'Shawn', 'Marion', 1999, 'PHO', 9, 281, 82, 58, 21, 79, 7, 6, 14, 7),
